,csGHI,csPOA,dc_power,ac_power,time_of_year
2018-02-18 04:20:00-07:00,0.0,0.0,0.0,0.0,0.13200152207001523
2018-02-18 04:21:00-07:00,0.0,0.0,0.0,0.0,0.13200342465753426
2018-02-18 04:22:00-07:00,0.0,0.0,0.0,0.0,0.1320053272450533
2018-02-18 04:23:00-07:00,0.0,0.0,0.0,0.0,0.13200722983257232
2018-02-18 04:24:00-07:00,0.0,0.0,0.0,0.0,0.13200913242009135
2018-02-18 04:25:00-07:00,0.0,0.0,0.0,0.0,0.13201103500761036
2018-02-18 04:26:00-07:00,0.0,0.0,0.0,0.0,0.1320129375951294
2018-02-18 04:27:00-07:00,0.0,0.0,0.0,0.0,0.13201484018264842
2018-02-18 04:28:00-07:00,0.0,0.0,0.0,0.0,0.13201674277016745
2018-02-18 04:29:00-07:00,0.0,0.0,0.0,0.0,0.13201864535768648
2018-02-18 04:30:00-07:00,0.0,0.0,0.0,0.0,0.13202054794520549
2018-02-18 04:31:00-07:00,0.0,0.0,0.0,0.0,0.13202245053272452
2018-02-18 04:32:00-07:00,0.0,0.0,0.0,0.0,0.13202435312024355
2018-02-18 04:33:00-07:00,0.0,0.0,0.0,0.0,0.13202625570776258
2018-02-18 04:34:00-07:00,0.0,0.0,0.0,0.0,0.1320281582952816
2018-02-18 04:35:00-07:00,0.0,0.0,0.0,0.0,0.13203006088280062
2018-02-18 04:36:00-07:00,0.0,0.0,0.0,0.0,0.13203196347031965
2018-02-18 04:37:00-07:00,0.0,0.0,0.0,0.0,0.13203386605783868
2018-02-18 04:38:00-07:00,0.0,0.0,0.0,0.0,0.1320357686453577
2018-02-18 04:39:00-07:00,0.0,0.0,0.0,0.0,0.1320376712328767
2018-02-18 04:40:00-07:00,0.0,0.0,0.0,0.0,0.13203957382039574
2018-02-18 04:41:00-07:00,0.0,0.0,0.0,0.0,0.13204147640791478
2018-02-18 04:42:00-07:00,0.0,0.0,0.0,0.0,0.1320433789954338
2018-02-18 04:43:00-07:00,0.0,0.0,0.0,0.0,0.13204528158295284
2018-02-18 04:44:00-07:00,0.0,0.0,0.0,0.0,0.13204718417047184
2018-02-18 04:45:00-07:00,0.0,0.0,0.0,0.0,0.13204908675799087
2018-02-18 04:46:00-07:00,0.0,0.0,0.0,0.0,0.1320509893455099
2018-02-18 04:47:00-07:00,0.0,0.0,0.0,0.0,0.13205289193302894
2018-02-18 04:48:00-07:00,0.0,0.0,0.0,0.0,0.13205479452054797
2018-02-18 04:49:00-07:00,0.0,0.0,0.0,0.0,0.13205669710806697
2018-02-18 04:50:00-07:00,0.0,0.0,0.0,0.0,0.132058599695586
2018-02-18 04:51:00-07:00,0.0,0.0,0.0,0.0,0.13206050228310504
2018-02-18 04:52:00-07:00,0.0,0.0,0.0,0.0,0.13206240487062407
2018-02-18 04:53:00-07:00,0.0,0.0,0.0,0.0,0.1320643074581431
2018-02-18 04:54:00-07:00,0.0,0.0,0.0,0.0,0.1320662100456621
2018-02-18 04:55:00-07:00,0.0,0.0,0.0,0.0,0.13206811263318113
2018-02-18 04:56:00-07:00,0.0,0.0,0.0,0.0,0.13207001522070017
2018-02-18 04:57:00-07:00,0.0,0.0,0.0,0.0,0.1320719178082192
2018-02-18 04:58:00-07:00,0.0,0.0,0.0,0.0,0.13207382039573823
2018-02-18 04:59:00-07:00,0.0,0.0,0.0,0.0,0.13207572298325723
2018-02-18 05:00:00-07:00,0.0,0.0,0.0,0.0,0.13207762557077626
2018-02-18 05:01:00-07:00,0.0,0.0,0.0,0.0,0.1320795281582953
2018-02-18 05:02:00-07:00,0.0,0.0,0.0,0.0,0.13208143074581433
2018-02-18 05:03:00-07:00,0.0,0.0,0.0,0.0,0.13208333333333336
2018-02-18 05:04:00-07:00,0.0,0.0,0.0,0.0,0.13208523592085236
2018-02-18 05:05:00-07:00,0.0,0.0,0.0,0.0,0.1320871385083714
2018-02-18 05:06:00-07:00,0.0,0.0,0.0,0.0,0.13208904109589042
2018-02-18 05:07:00-07:00,0.0,0.0,0.0,0.0,0.13209094368340946
2018-02-18 05:08:00-07:00,0.0,0.0,0.0,0.0,0.1320928462709285
2018-02-18 05:09:00-07:00,0.0,0.0,0.0,0.0,0.1320947488584475
2018-02-18 05:10:00-07:00,0.0,0.0,0.0,0.0,0.13209665144596652
2018-02-18 05:11:00-07:00,0.0,0.0,0.0,0.0,0.13209855403348555
2018-02-18 05:12:00-07:00,0.0,0.0,0.0,0.0,0.13210045662100459
2018-02-18 05:13:00-07:00,0.0,0.0,0.0,0.0,0.13210235920852362
2018-02-18 05:14:00-07:00,0.0,0.0,0.0,0.0,0.13210426179604262
2018-02-18 05:15:00-07:00,0.0,0.0,0.0,0.0,0.13210616438356165
2018-02-18 05:16:00-07:00,0.0,0.0,0.0,0.0,0.13210806697108068
2018-02-18 05:17:00-07:00,0.0,0.0,0.0,0.0,0.13210996955859972
2018-02-18 05:18:00-07:00,0.0,0.0,0.0,0.0,0.13211187214611875
2018-02-18 05:19:00-07:00,0.0,0.0,0.0,0.0,0.13211377473363775
2018-02-18 05:20:00-07:00,0.0,0.0,0.0,0.0,0.13211567732115678
2018-02-18 05:21:00-07:00,0.0,0.0,0.0,0.0,0.13211757990867581
2018-02-18 05:22:00-07:00,0.0,0.0,0.0,0.0,0.13211948249619485
2018-02-18 05:23:00-07:00,0.0,0.0,0.0,0.0,0.13212138508371388
2018-02-18 05:24:00-07:00,0.0,0.0,0.0,0.0,0.13212328767123288
