,csGHI,csPOA,dc_power,ac_power,time_of_year
2016-02-18 10:42:00-07:00,612.2137340055779,878.539155442582,1669.2243953409059,1669.2243953409059,0.13236566484517306
2016-02-18 10:43:00-07:00,613.7954263681775,880.4439147465953,1672.843438018531,1672.843438018531,0.13236756223436552
2016-02-18 10:44:00-07:00,615.3619580326346,882.3295621762056,1676.4261681347907,1676.4261681347907,0.132369459623558
2016-02-18 10:45:00-07:00,616.9132979083679,884.1960830511491,1679.9725577971833,1679.9725577971833,0.13237135701275046
2016-02-18 10:46:00-07:00,618.4494152181456,886.0434629507927,1683.482579606506,1683.482579606506,0.13237325440194295
2016-02-18 10:47:00-07:00,619.9702794982545,887.8716877125075,1686.9562066537644,1686.9562066537644,0.1323751517911354
2016-02-18 10:48:00-07:00,621.4758605986585,889.6807434299288,1690.3934125168648,1690.3934125168648,0.1323770491803279
2016-02-18 10:49:00-07:00,622.9661286831321,891.4706164509931,1693.794171256887,1693.794171256887,0.13237894656952034
2016-02-18 10:50:00-07:00,624.4410542293977,893.2412933758898,1697.1584574141905,1697.1584574141905,0.13238084395871283
2016-02-18 10:51:00-07:00,625.9006080293269,894.9927610552894,1700.4862460050497,1700.4862460050497,0.1323827413479053
2016-02-18 10:52:00-07:00,627.3447611890741,896.7250065881293,1703.7775125174455,1703.7775125174455,0.13238463873709777
2016-02-18 10:53:00-07:00,628.7734851292572,898.4380173195573,1707.032232907159,1707.032232907159,0.13238653612629023
2016-02-18 10:54:00-07:00,630.1867515851236,900.1317808387624,1710.2503835936486,1710.2503835936486,0.1323884335154827
2016-02-18 10:55:00-07:00,631.5845326067314,901.806284976783,1713.4319414558877,1713.4319414558877,0.13239033090467517
2016-02-18 10:56:00-07:00,632.9668005591275,903.4615178042834,1716.5768838281385,1716.5768838281385,0.13239222829386765
2016-02-18 10:57:00-07:00,634.3335281225205,905.0974676291543,1719.685188495393,1719.685188495393,0.13239412568306014
2016-02-18 10:58:00-07:00,635.6846882924733,906.7141229942639,1722.7568336891013,1722.7568336891013,0.1323960230722526
2016-02-18 10:59:00-07:00,637.0202543800983,908.3114726751711,1725.7917980828252,1725.7917980828252,0.13239792046144508
2016-02-18 11:00:00-07:00,638.3402000122259,909.8895056774909,1728.7900607872327,1728.7900607872327,0.13239981785063754
2016-02-18 11:01:00-07:00,639.6444991316156,911.4482112346916,1731.751601345914,1731.751601345914,0.13240171523983002
2016-02-18 11:02:00-07:00,640.9331259971387,912.987578805511,1734.676399730471,1734.676399730471,0.13240361262902248
2016-02-18 11:03:00-07:00,642.2060551839724,914.5075980713402,1737.5644363355464,1737.5644363355464,0.13240551001821496
2016-02-18 11:04:00-07:00,643.4632615838048,916.008258934005,1740.4156919746094,1740.4156919746094,0.13240740740740742
2016-02-18 11:05:00-07:00,644.7047204050212,917.4895515129324,1743.2301478745717,1743.2301478745717,0.1324093047965999
2016-02-18 11:06:00-07:00,645.9304071729135,918.9514661426197,1746.0077856709775,1746.0077856709775,0.13241120218579236
2016-02-18 11:07:00-07:00,647.1402977298694,920.3939933701754,1748.7485874033332,1748.7485874033332,0.13241309957498484
2016-02-18 11:08:00-07:00,648.3343682355809,921.8171239525891,1751.4525355099192,1751.4525355099192,0.1324149969641773
2016-02-18 11:09:00-07:00,649.5125951672385,923.2208488541687,1754.1196128229205,1754.1196128229205,0.13241689435336979
2016-02-18 11:10:00-07:00,650.674955319742,924.6051592437848,1756.7498025631912,1756.7498025631912,0.13241879174256224
2016-02-18 11:11:00-07:00,651.8214258058889,925.9700464923665,1759.3430883354963,1759.3430883354963,0.13242068913175473
2016-02-18 11:12:00-07:00,652.9519840565808,927.3155021701702,1761.8994541233235,1761.8994541233235,0.13242258652094718
2016-02-18 11:13:00-07:00,654.0666078210377,928.64151804402,1764.4188842836381,1764.4188842836381,0.13242448391013967
2016-02-18 11:14:00-07:00,655.1652751669794,929.9480860747639,1766.9013635420513,1766.9013635420513,0.13242638129933212
2016-02-18 11:15:00-07:00,656.2479644808195,931.2351984145985,1769.346876987737,1769.346876987737,0.1324282786885246
2016-02-18 11:16:00-07:00,657.3146544679096,932.5028474041761,1771.7554100679347,1771.7554100679347,0.13243017607771707
2016-02-18 11:17:00-07:00,658.3653241526753,933.7510255701989,1774.1269485833777,1774.1269485833777,0.13243207346690955
2016-02-18 11:18:00-07:00,659.3999528788852,934.9797256224622,1776.4614786826783,1776.4614786826783,0.132433970856102
2016-02-18 11:19:00-07:00,660.4185203097953,936.1889404513693,1778.7589868576015,1778.7589868576015,0.1324358682452945
2016-02-18 11:20:00-07:00,661.4210064283553,937.3786631252069,1781.019459937893,1781.019459937893,0.13243776563448695
2016-02-18 11:21:00-07:00,662.4073915374099,938.5488868874594,1783.242885086173,1783.242885086173,0.13243966302367943
2016-02-18 11:22:00-07:00,663.3776562599174,939.6996051540738,1785.4292497927402,1785.4292497927402,0.1324415604128719
2016-02-18 11:23:00-07:00,664.3317815390973,940.8308115109434,1787.5785418707924,1787.5785418707924,0.13244345780206437
2016-02-18 11:24:00-07:00,665.2697486386522,941.9424997111751,1789.6907494512327,1789.6907494512327,0.13244535519125686
2016-02-18 11:25:00-07:00,666.19153914294,943.0346636725033,1791.7658609777561,1791.7658609777561,0.13244725258044932
2016-02-18 11:26:00-07:00,667.097134957211,944.1072974745966,1793.8038652017337,1793.8038652017337,0.1324491499696418
2016-02-18 11:27:00-07:00,667.9865183076961,945.16039535662,1795.804751177578,1795.804751177578,0.13245104735883426
2016-02-18 11:28:00-07:00,668.8596717418797,946.1939517145181,1797.7685082575845,1797.7685082575845,0.13245294474802674
2016-02-18 11:29:00-07:00,669.7165781286757,947.2079610984656,1799.6951260870846,1799.6951260870846,0.1324548421372192
2016-02-18 11:30:00-07:00,670.5572206585535,948.2024182104192,1801.5845945997964,1801.5845945997964,0.13245673952641168
2016-02-18 11:31:00-07:00,671.3815828437461,949.1773179015463,1803.4369040129382,1803.4369040129382,0.13245863691560414
2016-02-18 11:32:00-07:00,672.1896485184667,950.1326551696966,1805.2520448224236,1805.2520448224236,0.13246053430479662
2016-02-18 11:33:00-07:00,672.9814018390065,951.0684251570259,1807.0300077983493,1807.0300077983493,0.13246243169398908
2016-02-18 11:34:00-07:00,673.756827283944,951.984623147513,1808.770783980275,1808.770783980275,0.13246432908318156
