Inverter mRID,IPAddress,Port,MasterDNP3Addr,LocalDNP3Addr,Inverter Rating (watts),Nominal Voltage (V),PhaseType,Circuit Phase,P - Identifier,Q - Identifier,Va - Identifier,Vb - Identifier,Vc - Identifier,F - Identifier
158539288_PV,127.0.0.1,20052,101,100,7605,240,SINGLE_PHASE,A,P53,Q53,158539288_pv_1,,,
159897281_PV,127.0.0.1,20053,101,100,6555,240,SINGLE_PHASE,A,P54,Q54,159897281_pv_1,,,
160838288_PV,127.0.0.1,20054,101,100,9240,240,SINGLE_PHASE,A,P55,Q55,160838288_pv_1,,,
162118281_PV,127.0.0.1,20055,101,100,5685,240,SINGLE_PHASE,A,P56,Q56,162118281_pv_1,,,
162892383_PV,127.0.0.1,20056,101,100,3540,240,SINGLE_PHASE,A,P57,Q57,162892383_pv_1,,,
163708284_PV,127.0.0.1,20057,101,100,9780,240,SINGLE_PHASE,A,P58,Q58,163708284_pv_1,,,
164758280_PV,127.0.0.1,20058,101,100,8745,240,SINGLE_PHASE,A,P59,Q59,164758280_pv_1,,,
165141385_PV,127.0.0.1,20059,101,100,2340,240,SINGLE_PHASE,A,P60,Q60,165141385_pv_1,,,
166392385_PV,127.0.0.1,20060,101,100,10425,240,SINGLE_PHASE,A,P61,Q61,166392385_pv_1,,,
166408282_PV,127.0.0.1,20061,101,100,8760,240,SINGLE_PHASE,A,P62,Q62,166408282_pv_1,,,
166460389_PV,127.0.0.1,20062,101,100,2205,240,SINGLE_PHASE,A,P63,Q63,166460389_pv_1,,,
168358287_PV,127.0.0.1,20063,101,100,7560,240,SINGLE_PHASE,A,P64,Q64,168358287_pv_1,,,
16949283_PV,127.0.0.1,20064,101,100,2280,240,SINGLE_PHASE,A,P65,Q65,16949283_pv_1,,,
169897281_PV,127.0.0.1,20065,101,100,8850,240,SINGLE_PHASE,A,P66,Q66,169897281_pv_1,,,
170258282_PV,127.0.0.1,20066,101,100,7530,240,SINGLE_PHASE,A,P67,Q67,170258282_pv_1,,,
171629281_PV,127.0.0.1,20067,101,100,3495,240,SINGLE_PHASE,A,P68,Q68,171629281_pv_1,,,
17238282_PV,127.0.0.1,20068,101,100,10695,240,SINGLE_PHASE,A,P69,Q69,17238282_pv_1,,,
174797289_PV,127.0.0.1,20069,101,100,6585,240,SINGLE_PHASE,A,P70,Q70,174797289_pv_1,,,
175168283_PV,127.0.0.1,20070,101,100,8940,240,SINGLE_PHASE,A,P71,Q71,175168283_pv_1,,,
176018286_PV,127.0.0.1,20071,101,100,10725,240,SINGLE_PHASE,A,P72,Q72,176018286_pv_1,,,
176408284_PV,127.0.0.1,20072,101,100,2340,240,SINGLE_PHASE,A,P73,Q73,176408284_pv_1,,,
178192384_PV,127.0.0.1,20073,101,100,8265,240,SINGLE_PHASE,A,P74,Q74,178192384_pv_1,,,
17859288_PV,127.0.0.1,20074,101,100,3120,240,SINGLE_PHASE,A,P75,Q75,17859288_pv_1,,,
178639281_PV,127.0.0.1,20075,101,100,6075,240,SINGLE_PHASE,A,P76,Q76,178639281_pv_1,,,
179859285_PV,127.0.0.1,20076,101,100,6960,240,SINGLE_PHASE,A,P77,Q77,179859285_pv_1,,,
180959281_PV,127.0.0.1,20077,101,100,5265,240,SINGLE_PHASE,A,P78,Q78,180959281_pv_1,,,
181629281_PV,127.0.0.1,20078,101,100,3270,240,SINGLE_PHASE,A,P79,Q79,181629281_pv_1,,,
182549288_PV,127.0.0.1,20079,101,100,6660,240,SINGLE_PHASE,A,P80,Q80,182549288_pv_1,,,
183897287_PV,127.0.0.1,20080,101,100,6900,240,SINGLE_PHASE,A,P81,Q81,183897287_pv_1,,,
184760387_PV,127.0.0.1,20081,101,100,2190,240,SINGLE_PHASE,A,P82,Q82,184760387_pv_1,,,
185608280_PV,127.0.0.1,20082,101,100,2295,240,SINGLE_PHASE,A,P83,Q83,185608280_pv_1,,,
185858283_PV,127.0.0.1,20083,101,100,8820,240,SINGLE_PHASE,A,P84,Q84,185858283_pv_1,,,
186541383_PV,127.0.0.1,20084,101,100,2235,240,SINGLE_PHASE,A,P85,Q85,186541383_pv_1,,,
186748282_PV,127.0.0.1,20085,101,100,6765,240,SINGLE_PHASE,A,P86,Q86,186748282_pv_1,,,
186760386_PV,127.0.0.1,20086,101,100,5520,240,SINGLE_PHASE,A,P87,Q87,186760386_pv_1,,,
186808284_PV,127.0.0.1,20087,101,100,4275,240,SINGLE_PHASE,A,P88,Q88,186808284_pv_1,,,
188192384_PV,127.0.0.1,20088,101,100,2370,240,SINGLE_PHASE,A,P89,Q89,188192384_pv_1,,,
188349284_PV,127.0.0.1,20089,101,100,4155,240,SINGLE_PHASE,A,P90,Q90,188349284_pv_1,,,
188831389_PV,127.0.0.1,20090,101,100,4485,240,SINGLE_PHASE,A,P91,Q91,188831389_pv_1,,,
189308282_PV,127.0.0.1,20091,101,100,5250,240,SINGLE_PHASE,A,P92,Q92,189308282_pv_1,,,
19141381_PV,127.0.0.1,20092,101,100,3270,240,SINGLE_PHASE,A,P93,Q93,19141381_pv_1,,,
19269283_PV,127.0.0.1,20093,101,100,3555,240,SINGLE_PHASE,A,P94,Q94,19269283_pv_1,,,
192708284_PV,127.0.0.1,20094,101,100,6090,240,SINGLE_PHASE,A,P95,Q95,192708284_pv_1,,,
192759284_PV,127.0.0.1,20095,101,100,8520,240,SINGLE_PHASE,A,P96,Q96,192759284_pv_1,,,
192863388_PV,127.0.0.1,20096,101,100,6330,240,SINGLE_PHASE,A,P97,Q97,192863388_pv_1,,,
193018283_PV,127.0.0.1,20097,101,100,2325,240,SINGLE_PHASE,A,P98,Q98,193018283_pv_1,,,
193458285_PV,127.0.0.1,20098,101,100,13185,240,SINGLE_PHASE,A,P99,Q99,193458285_pv_1,,,
194858287_PV,127.0.0.1,20099,101,100,6900,240,SINGLE_PHASE,A,P100,Q100,194858287_pv_1,,,
